datetime,Achat Ecocup,Biere 25cl,Cafe,Carte Cashless,Cidre,Croque Choco,Frite,Hot-Dog,Menu Classique,Menu Vegetarien,Remboursement Ecocup,Sandwich Vege,Soft,Tee-shirts
2019-04-05 22:01:00,7,37,,4,6,,2,,,,,1,2,
2019-04-05 22:02:00,7,21,,4,10,1,2,13,3,2,,,1,
2019-04-05 22:03:00,5,30,,2,3,4,4,1,,2,,,3,
2019-04-05 22:04:00,2,19,,4,1,1,3,2,3,,,,4,
2019-04-05 22:05:00,4,24,,1,4,,1,,1,,,,5,
2019-04-05 22:06:00,5,35,,2,3,2,6,6,,1,,,1,
2019-04-05 22:07:00,4,29,,1,3,,3,3,1,,,,2,
2019-04-05 22:08:00,2,32,,2,5,,2,2,9,,2,,1,
2019-04-05 22:09:00,2,27,,2,2,1,2,1,,,,,2,
2019-04-05 22:10:00,1,23,,,1,2,3,2,1,,,,3,
2019-04-05 22:11:00,11,28,,3,1,,3,6,1,,1,1,1,
2019-04-05 22:12:00,5,24,,4,5,,,2,2,,,,1,
2019-04-05 22:13:00,8,30,,1,3,,2,1,4,,1,,4,
2019-04-05 22:14:00,8,18,,5,2,,4,5,3,,1,,,
2019-04-05 22:15:00,4,32,,2,1,,,2,2,,,,2,
2019-04-05 22:16:00,3,23,,2,1,,,,3,,,,3,
2019-04-05 22:17:00,11,37,,2,1,,4,,2,,,,3,
2019-04-05 22:18:00,4,18,,1,1,,1,,1,1,,,3,
2019-04-05 22:19:00,1,38,,2,3,3,5,5,,,,,1,
2019-04-05 22:20:00,1,26,,,1,,2,5,2,,,,3,
2019-04-05 22:21:00,2,25,,,2,,1,,,1,,,1,
2019-04-05 22:22:00,2,36,,3,1,,3,3,2,,,1,1,
2019-04-05 22:23:00,4,31,,3,7,,,5,,,,,,
2019-04-05 22:24:00,2,25,,2,1,,2,2,4,,2,,,
2019-04-05 22:25:00,,31,,1,4,,1,,,,,,3,
2019-04-05 22:26:00,3,35,,1,5,,2,1,4,,,,2,
